 ,Datum,Strecke,Land
1,29. Februar - 2. März 2024,Bahrain International Circuit,Bahrain
2,8. - 10. März 2024,Jeddah Corniche Circuit,Saudi-Arabien
3,22. - 24. März 2024,Albert Park Circuit,Australien
4,5. - 7. April 2024,Suzuka International Racing Course,Japan
5,19. - 21. April 2024,Shanghai International Circuit,China
6,3. - 5. Mai 2024,Miami International Autodrome,Vereinigte Staaten
7,17. - 19. Mai 2024,Autodromo Enzo e Dino Ferrari,Italien
8,24. - 26. Mai 2024,Circuit de Monaco,Monaco
9,7. - 9. Juni 2024,Circuit Gilles Villeneuve,Kanada
10,21. - 23. Juni 2024,Circuit de Barcelona-Catalunya,Spanien
11,28. - 30. Juni 2024,Red Bull Ring,Österreich
12,5. - 7. Juli 2024,Silverstone Circuit,Vereinigtes Königreich
13,19. - 21. Juli 2024,Hungaroring,Ungarn
14,26. - 28. Juli 2024,Circuit de Spa-Francorchamps,Belgien
15,23. - 25. August 2024,Circuit Zandvoort,Niederlande
16,30. August - 1. September 2024,Autodromo Nazionale Monza,Italien
17,13. - 15. September 2024,Baku City Circuit,Aserbaidschan
18,20. - 22. September 2024,Marina Bay Street Circuit,Singapur
19,18. - 20. Oktober 2024,Circuit of the Americas,Vereinigte Staaten
20,25. - 27. Oktober 2024,Autodromo Hermanos Rodríguez,Mexiko
21,1. - 3. November 2024,Interlagos Circuit,Brasilien
22,22. - 24. November 2024,Las Vegas Strip Circuit,Vereinigte Staaten
23,29. November - 1. Dezember 2024,Lusail International Circuit,Katar
24,6. - 8. Dezember 2024,Yas Marina Circuit,Vereinigte Arabische Emirate
